X,Y,OBJECTID,FACILITYID,INTID,LATITUDE,LONGITUDE,COUNTDATE,ADT,STREETONE,DIRECTION,STREETTWO,TRAVELDIRE,NEARINTERS,CITY,ADTONE,ADTTWO,CREATIONDATE,LASTUPDATE,NOTES
6139964.09418441,1938816.79558407,5664,3268,3268,37.31056476,-121.95006254,2013/08/07 00:00:00+00,28029,Winchester Bl,N of,Fruitdale Av, ,Winchester Bl & Fruitdale Av,San Jose,,,,2021/03/18 17:08:34+00, 
6157877.90251683,1947052.66297056,5665,3269,3269,37.33393169,-121.88890012,2015/04/16 00:00:00+00,3360,First St,S of,San Salvador St, ,First St & San Salvador St,San Jose,,,,2021/03/18 17:08:34+00, 
6161116.48363808,1942135.33258215,5666,3270,3270,37.32055932,-121.87751322,2015/04/02 00:00:00+00,5054,Second St,S of,Keyes St, ,Second St & Keyes St,San Jose,,,,2021/03/18 17:08:34+00, 
6159251.64878508,1945379.11940165,5667,3271,3271,37.32939175,-121.88409054,2015/04/02 00:00:00+00,5464,Second St,N of,William St, ,Second St & William St,San Jose,,,,2021/03/18 17:08:34+00, 
6159874.94740725,1945008.12276831,5668,3272,3272,37.32839823,-121.8819281,2015/04/02 00:00:00+00,9194,Third St,N of,Reed St, ,Third St & Reed St,San Jose,,,,2021/03/18 17:08:34+00, 
6160840.17874449,1943329.01949923,5669,3273,3273,37.32382622,-121.87852374,2015/04/02 00:00:00+00,7782,Third St,N of,Martha St, ,Third St & Martha St,San Jose,,,,2021/03/18 17:08:34+00, 
6161653.36314175,1941767.67616522,5670,3274,3274,37.3195598,-121.87564882,2015/04/02 00:00:00+00,7539,Humboldt St,W of,Third St, ,Humboldt St & Third St,San Jose,,,,2021/03/18 17:08:34+00, 
6160130.51743416,1934396.97469932,5671,3275,3275,37.29926257,-121.88050412,2015/04/09 00:00:00+00,9375,Almaden Rd,N of,Malone Rd, ,Almaden Rd & Malone Rd,San Jose,,,,2021/03/18 17:08:34+00, 
6160861.81551224,1926000.57515356,5672,3276,3276,37.27623993,-121.87757074,2015/03/19 00:00:00+00,3122,Old Almaden Rd,N of,Capitol Ex, ,Old Almaden Rd & Capitol Ex,San Jose,,,,2021/03/18 17:08:34+00, 
6155181.86591417,1940575.09456089,5673,3277,3277,37.31602913,-121.89783302,2015/04/09 00:00:00+00,15918,Bird Av,S of,Atlanta Av, ,Bird Av & Atlanta Av,San Jose,,,,2021/03/18 17:08:34+00, 
6155464.86567625,1939152.21059565,5674,3278,3278,37.31213685,-121.89679513,2015/04/09 00:00:00+00,12455,Bird Av,S of,Iris Gardens Ct, ,Bird Av & Iris Gardens Ct,San Jose,,,,2021/03/18 17:08:34+00, 
6156248.44055267,1938154.69881114,5675,3279,3279,37.30942984,-121.89404882,2015/04/09 00:00:00+00,11852,Bird Av,N of,Cristina Av, ,Bird Av & Cristina Av,San Jose,,,,2021/03/18 17:08:34+00, 
6157782.58216941,1936501.27298415,5676,3280,3280,37.30495177,-121.88869138,2015/04/23 00:00:00+00,12098,Bird Av,S of,Jansen Av, ,Bird Av & Jansen Av,San Jose,,,,2021/03/18 17:08:34+00, 
6118474.30251841,1934563.21944556,5677,3281,3281,37.29794644,-122.02370641,2015/01/22 00:00:00+00,3229,Blaney Av,N of,Windsor Wy, ,Blaney Av & Windsor Wy,San Jose,,,,2021/03/18 17:08:34+00, 
6156676.75170392,1926494.97016214,5678,3282,3282,37.27742769,-121.89197885,2015/03/17 00:00:00+00,6989,Chery Av,N of,Avalon Dr, ,Chery Av & Avalon Dr,San Jose,,,,2021/03/18 17:08:34+00, 
6155504.31572857,1928731.18419364,5679,3283,3283,37.28352074,-121.89612255,2015/03/19 00:00:00+00,6943,Cherry Av,N of,Darlene Av, ,Cherry Av & Darlene Av,San Jose,,,,2021/03/18 17:08:34+00, 
6157964.62380008,1922823.32330598,5680,3284,3284,37.26739513,-121.88736127,2015/03/19 00:00:00+00,6111,Cherry Av,N of,Stark Wy, ,Cherry Av & Stark Wy,San Jose,,,,2021/03/18 17:08:34+00, 
6154912.51474683,1932813.20850989,5681,3285,3285,37.29470615,-121.89836478,2015/02/05 00:00:00+00,3831,Cottle Av,S of,Pine Av, ,Cottle Av & Pine Av,San Jose,,,,2021/03/18 17:08:34+00, 
6154899.81136017,1932844.73370931,5682,3286,3286,37.2947922,-121.89841007,2015/04/09 00:00:00+00,3845,Cottle Av,S of,Pine Av, ,Cottle Av & Pine Av,San Jose,,,,2021/03/18 17:08:34+00, 
6157387.64693566,1930740.0177744,5683,3287,3287,37.28910307,-121.8897555,2015/04/19 00:00:00+00,17252,Curtner Av,W of,Radio Av, ,Curtner Av & Radio Av,San Jose,,,,2021/03/18 17:08:34+00, 
6158677.25426458,1931291.08524181,5684,3288,3288,37.29066892,-121.88535109,2015/04/09 00:00:00+00,16345,Curtner Av,W of,Celestine Av, ,Curtner Av & Celestine Av,San Jose,,,,2021/03/18 17:08:34+00, 
6158717.59932825,1931308.24203165,5685,3289,3289,37.29071764,-121.8852131,2015/02/05 00:00:00+00,16846,Curtner Av,W of,Celestine Av, ,Curtner Av & Celestine Av,San Jose,,,,2021/03/18 17:08:34+00, 
6157593.07369016,1930828.39226957,5686,3290,3290,37.28935413,-121.88905391,2015/04/09 00:00:00+00,17313,Curtner AV,E of,Radio Av, ,Curtner AV & Radio Av,San Jose,,,,2021/03/18 17:08:34+00, 
6157611.71702558,1930836.42637423,5687,3291,3291,37.28937696,-121.88899024,2015/02/05 00:00:00+00,17794,Curtner Av,E of,Radio Av, ,Curtner Av & Radio Av,San Jose,,,,2021/03/18 17:08:34+00, 
6149960.722157,1938647.06528048,5688,3292,3292,37.31051953,-121.91568498,2015/03/18 00:00:00+00,3069,St Elizabeth Dr,S of,Frutdale Av, ,St Elizabeth Dr & Frutdale Av,San Jose,,,,2021/03/18 17:08:34+00, 
6149008.12366849,1945771.1629089,5689,3293,3293,37.33004648,-121.9193411,2015/03/17 00:00:00+00,13755,Park Av,N of,Hester Av, ,Park Av & Hester Av,San Jose,,,,2021/03/18 17:08:34+00, 
6160603.09293258,1952027.47093432,5690,3294,3294,37.34770407,-121.87978008,2015/05/13 00:00:00+00,826,15th St,N of,Julian St, ,15th St & Julian St,San Jose,,,,2021/03/18 17:08:34+00, 
6160595.70974524,1951851.17109007,5691,3295,3295,37.34720808,-121.8797973,2015/05/13 00:00:00+00,9382,Julian St,W of,Fifteenth St, ,Julian St & Fifteenth St,San Jose,,,,2021/03/18 17:08:34+00, 
6160740.55459991,1951789.55704007,5692,3296,3296,37.34705629,-121.8792951,2015/05/13 00:00:00+00,588,15th St,S of,Julian St, ,15th St & Julian St,San Jose,,,,2021/03/18 17:08:34+00, 
6160769.04404424,1951951.04195331,5693,3297,3297,37.34748937,-121.87920618,2015/05/13 00:00:00+00,9587,Julian St,E of,Fifteenth St, ,Julian St & Fifteenth St,San Jose,,,,2021/03/18 17:08:34+00, 
6152182.95458916,1941367.9138414,5694,3298,3298,37.31808352,-121.9081856,2015/04/09 00:00:00+00,9361,Lincoln Av,N of,Savaker Av, ,Lincoln Av & Savaker Av,San Jose,,,,2021/03/18 17:08:34+00, 
6153598.47636442,1938916.30949265,5695,3299,3299,37.31141257,-121.90319788,2015/04/09 00:00:00+00,12989,Lincoln Av,N of,Lester Av, ,Lincoln Av & Lester Av,San Jose,,,,2021/03/18 17:08:34+00, 
6153604.86808391,1938904.77473882,5696,3300,3300,37.31138116,-121.90317531,2015/04/23 00:00:00+00,10490,Lincoln Av,N of,Lester Av, ,Lincoln Av & Lester Av,San Jose,,,,2021/03/18 17:08:34+00, 
6155981.52999724,1935223.62429273,5697,3301,3301,37.30136967,-121.89481676,2015/04/09 00:00:00+00,13998,Lincoln Av,S of,Nevada Av, ,Lincoln Av & Nevada Av,San Jose,,,,2021/03/18 17:08:34+00, 
6154563.23887058,1937170.95930882,5698,3302,3302,37.30665922,-121.89979112,2015/04/09 00:00:00+00,13725,Lincoln Av,S of,Meredith Av, ,Lincoln Av & Meredith Av,San Jose,,,,2021/03/18 17:08:34+00, 
6158361.47340009,1930298.14595473,5699,3303,3303,37.28794056,-121.88638296,2015/04/09 00:00:00+00,12408,Lincon Av,N of,Manor Dr, ,Lincon Av & Manor Dr,San Jose,,,,2021/03/18 17:08:34+00, 
6150536.36929967,1936913.86205398,5700,3304,3304,37.30578373,-121.91361584,2015/04/09 00:00:00+00,32737,Meridian Av,S of,Westwood Dr, ,Meridian Av & Westwood Dr,San Jose,,,,2021/03/18 17:08:34+00, 
6150536.10158366,1936885.4543024,5701,3305,3305,37.30570571,-121.91361528,2015/02/04 00:00:00+00,33163,Meridian Av,S of,Westwood Dr, ,Meridian Av & Westwood Dr,San Jose,,,,2021/03/18 17:08:34+00, 
6128196.06424282,1939372.19539189,5702,3306,3306,37.31158081,-121.99055123,2015/04/02 00:00:00+00,9706,Moorpark Av,S of,Borina Dr, ,Moorpark Av & Borina Dr,San Jose,,,,2021/03/18 17:08:34+00, 
6127251.5766305,1938632.42587407,5703,3307,3307,37.30950475,-121.99377153,2015/04/02 00:00:00+00,16879,Moorpark Av,W of,Gullo Av, ,Moorpark Av & Gullo Av,San Jose,,,,2021/03/18 17:08:34+00, 
6130017.31486541,1940915.31730564,5704,3308,3308,37.31589476,-121.98438753,2015/04/02 00:00:00+00,11305,Moorpark Av,W of,Junipero Serra Ln, ,Moorpark Av & Junipero Serra Ln,San Jose,,,,2021/03/18 17:08:34+00, 
6147183.61616266,1947725.38767497,5705,3309,3309,37.33533689,-121.92571795,2015/03/12 00:00:00+00,8669,Park Av,N of,Emory St, ,Park Av & Emory St,San Jose,,,,2021/03/18 17:08:34+00, 
6155297.41227099,1945007.4419954,5706,3310,3310,37.32819812,-121.89767052,2015/03/19 00:00:00+00,7087,Park Av,W of,Sonoma St, ,Park Av & Sonoma St,San Jose,,,,2021/03/18 17:08:34+00, 
6152437.42356841,1944325.11166714,5707,3311,3311,37.32620929,-121.90747614,2015/03/19 00:00:00+00,8275,Park Av,W of,Cleaves Av, ,Park Av & Cleaves Av,San Jose,,,,2021/03/18 17:08:34+00, 
6151368.21671733,1940956.03179115,5708,3312,3312,37.31691915,-121.91096312,2015/03/19 00:00:00+00,6828,Race St,N of,Parkmoor Av, ,Race St & Parkmoor Av,San Jose,,,,2021/03/18 17:08:34+00, 
